variable,a,b,W,p,effect_r,n,dataset,p_adj,significant
retrieval,bm25,hybrid,570.5,1.4189897237177375e-45,-0.9716070273229482,500,msmarco,7.094948618588687e-45,True
rerank,cross_encoder,none,2274.5,1.2236580251806543e-43,0.9062371176519086,500,msmarco,4.894632100722617e-43,True
retrieval,bm25,dense,3416.5,5.002897747045568e-39,-0.8573337509134565,500,msmarco,1.5008693241136704e-38,True
retrieval,dense,hybrid,5535.0,1.697797921593499e-14,0.5832862789384528,500,msmarco,3.395595843186998e-14,True
chunking,fixed,semantic,12113.0,1.4923848848668793e-06,0.337816044827115,500,msmarco,1.4923848848668793e-06,True
retrieval,bm25,hybrid,1467.0,1.0304130745989395e-40,-0.9243443954513808,500,nq,5.1520653729946974e-40,True
retrieval,bm25,dense,4999.5,1.0930133033132376e-33,-0.7925733845036822,500,nq,4.37205321325295e-33,True
rerank,cross_encoder,none,6979.0,2.3713649887743607e-29,0.7265282131661441,500,nq,7.114094966323082e-29,True
retrieval,dense,hybrid,6390.0,5.380655213907401e-12,0.5230631437527988,500,nq,1.0761310427814802e-11,True
chunking,fixed,semantic,11852.5,5.305126259053195e-07,0.35205685390187225,500,nq,5.305126259053195e-07,True
